rel_path,vendor,hw_platform,profile,default_topo
device/inventec/x86_64-inventec_d7054q28b-r0/INVENTEC-D7054Q28B-S48-Q6/buffers.json.j2,inventec,x86_64-inventec_d7054q28b-r0,INVENTEC-D7054Q28B-S48-Q6,NOT_FOUND
device/juniper/x86_64-juniper_qfx5200-r0/Juniper-QFX5200-32C-S/buffers.json.j2,juniper,x86_64-juniper_qfx5200-r0,Juniper-QFX5200-32C-S,NOT_FOUND
device/juniper/x86_64-juniper_qfx5210-r0/Juniper-QFX5210-64C/buffers.json.j2,juniper,x86_64-juniper_qfx5210-r0,Juniper-QFX5210-64C,NOT_FOUND
device/marvell/arm64-marvell_db98cx8580_32cd-r0/db98cx8580_32cd/buffers.json.j2,marvell,arm64-marvell_db98cx8580_32cd-r0,db98cx8580_32cd,NOT_FOUND
device/marvell/arm64-marvell_rd98DX35xx-r0/rd98DX35xx/buffers.json.j2,marvell,arm64-marvell_rd98DX35xx-r0,rd98DX35xx,t1
device/marvell/arm64-marvell_rd98DX35xx_cn9131-r0/rd98DX35xx_cn9131/buffers.json.j2,marvell,arm64-marvell_rd98DX35xx_cn9131-r0,rd98DX35xx_cn9131,t1
device/marvell/arm64-marvell_rd98DX45xx_cn9131-r0/rd98DX45xx_cn9131/buffers.json.j2,marvell,arm64-marvell_rd98DX45xx_cn9131-r0,rd98DX45xx_cn9131,t1
device/marvell/x86_64-marvell_d64p512t-r0/d64p512t_128x400G-2x10G/buffers.json.j2,marvell,x86_64-marvell_d64p512t-r0,d64p512t_128x400G-2x10G,DYNAMIC
device/marvell/x86_64-marvell_d64p512t-r0/d64p512t_256x200G-2x10G/buffers.json.j2,marvell,x86_64-marvell_d64p512t-r0,d64p512t_256x200G-2x10G,DYNAMIC
device/marvell/x86_64-marvell_d64p512t-r0/d64p512t_512x100G-2x10G/buffers.json.j2,marvell,x86_64-marvell_d64p512t-r0,d64p512t_512x100G-2x10G,DYNAMIC
device/marvell/x86_64-marvell_d64p512t-r0/d64p512t_64x800G-2x10G/buffers.json.j2,marvell,x86_64-marvell_d64p512t-r0,d64p512t_64x800G-2x10G,DYNAMIC
device/marvell/x86_64-marvell_d64p512t-r0/d64p512t_64x800G-2x10G_lab/buffers.json.j2,marvell,x86_64-marvell_d64p512t-r0,d64p512t_64x800G-2x10G_lab,DYNAMIC
device/marvell/x86_64-marvell_db98cx8514_10cc-r0/F2T48x25G8x100G/buffers.json.j2,marvell,x86_64-marvell_db98cx8514_10cc-r0,F2T48x25G8x100G,t1
device/marvell/x86_64-marvell_db98cx8514_10cc-r0/F2T80x25G/buffers.json.j2,marvell,x86_64-marvell_db98cx8514_10cc-r0,F2T80x25G,t1
device/marvell/x86_64-marvell_db98cx8522_10cc-r0/db98cx8522_10cc/buffers.json.j2,marvell,x86_64-marvell_db98cx8522_10cc-r0,db98cx8522_10cc,t1
device/marvell/x86_64-marvell_db98cx8540_16cd-r0/db98cx8540_16cd/buffers.json.j2,marvell,x86_64-marvell_db98cx8540_16cd-r0,db98cx8540_16cd,t1
device/marvell/x86_64-marvell_db98cx8580_32cd-r0/FALCON32X25G/buffers.json.j2,marvell,x86_64-marvell_db98cx8580_32cd-r0,FALCON32X25G,t1
device/marvell/x86_64-marvell_db98cx8580_32cd-r0/FALCON32x100G/buffers.json.j2,marvell,x86_64-marvell_db98cx8580_32cd-r0,FALCON32x100G,t1
device/marvell/x86_64-marvell_db98cx8580_32cd-r0/FALCON_DB/buffers.json.j2,marvell,x86_64-marvell_db98cx8580_32cd-r0,FALCON_DB,t1
device/marvell/x86_64-marvell_db98cx8580_32cd-r0/FC48x25G8x100GR4/buffers.json.j2,marvell,x86_64-marvell_db98cx8580_32cd-r0,FC48x25G8x100GR4,t1
device/marvell/x86_64-marvell_dbmvtx9180-r0/dbmvtx9180_64x100G/buffers.json.j2,marvell,x86_64-marvell_dbmvtx9180-r0,dbmvtx9180_64x100G,NOT_FOUND
device/mellanox/x86_64-mlnx_msn2700-r0/ACS-MSN2700/buffers.json.j2,mellanox,x86_64-mlnx_msn2700-r0,ACS-MSN2700,t0
device/mellanox/x86_64-mlnx_msn2700-r0/Mellanox-SN2700-D44C10/buffers.json.j2,mellanox,x86_64-mlnx_msn2700-r0,Mellanox-SN2700-D44C10,t0
device/mellanox/x86_64-mlnx_msn4700-r0/Mellanox-SN4700-A96C8V8/buffers.json.j2,mellanox,x86_64-mlnx_msn4700-r0,Mellanox-SN4700-A96C8V8,t0
